set_index,model_dir,url_0,url_1,url_2,url_3,url_4,url_5
0,Hand-picked,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-0-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-0-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-0-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-0-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-0-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-0-neuron-5-cluster.jpg?raw=true
1,Hand-picked,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-1-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-1-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-1-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-1-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-1-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-1-neuron-5-cluster.jpg?raw=true
2,Hand-picked,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-2-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-2-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-2-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-2-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-2-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-2-neuron-5-cluster.jpg?raw=true
3,Hand-picked,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-3-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-3-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-3-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-3-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-3-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-3-neuron-5-cluster.jpg?raw=true
4,Hand-picked,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-4-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-4-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-4-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-4-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-4-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-4-neuron-5-cluster.jpg?raw=true
5,Hand-picked,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-5-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-5-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-5-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-5-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-5-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-5-neuron-5-cluster.jpg?raw=true
6,Hand-picked,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-6-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-6-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-6-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-6-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-6-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-6-neuron-5-cluster.jpg?raw=true
7,Hand-picked,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-7-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-7-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-7-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-7-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-7-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-7-neuron-5-cluster.jpg?raw=true
10,Hand-picked,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-10-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-10-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-10-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-10-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-10-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-10-neuron-5-cluster.jpg?raw=true
11,Hand-picked,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-11-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-11-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-11-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-11-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-11-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Hand-picked/set-11-neuron-5-cluster.jpg?raw=true
