set_index,model_dir,url_0,url_1,url_2,url_3,url_4,url_5
0,NeuEvo-base_model,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-0-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-0-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-0-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-0-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-0-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-0-neuron-5-cluster.jpg?raw=true
1,NeuEvo-base_model,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-1-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-1-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-1-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-1-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-1-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-1-neuron-5-cluster.jpg?raw=true
2,NeuEvo-base_model,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-2-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-2-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-2-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-2-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-2-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-2-neuron-5-cluster.jpg?raw=true
3,NeuEvo-base_model,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-3-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-3-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-3-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-3-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-3-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-3-neuron-5-cluster.jpg?raw=true
4,NeuEvo-base_model,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-4-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-4-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-4-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-4-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-4-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-4-neuron-5-cluster.jpg?raw=true
5,NeuEvo-base_model,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-5-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-5-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-5-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-5-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-5-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-5-neuron-5-cluster.jpg?raw=true
6,NeuEvo-base_model,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-6-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-6-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-6-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-6-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-6-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-6-neuron-5-cluster.jpg?raw=true
7,NeuEvo-base_model,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-7-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-7-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-7-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-7-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-7-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-7-neuron-5-cluster.jpg?raw=true
8,NeuEvo-base_model,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-8-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-8-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-8-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-8-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-8-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-8-neuron-5-cluster.jpg?raw=true
9,NeuEvo-base_model,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-9-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-9-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-9-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-9-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-9-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-base_model/set-9-neuron-5-cluster.jpg?raw=true
