set_index,model_dir,url_0,url_1,url_2,url_3,url_4,url_5
0,Random,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-0-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-0-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-0-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-0-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-0-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-0-neuron-5-cluster.jpg?raw=true
1,Random,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-1-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-1-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-1-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-1-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-1-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-1-neuron-5-cluster.jpg?raw=true
2,Random,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-2-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-2-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-2-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-2-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-2-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-2-neuron-5-cluster.jpg?raw=true
3,Random,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-3-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-3-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-3-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-3-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-3-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-3-neuron-5-cluster.jpg?raw=true
4,Random,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-4-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-4-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-4-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-4-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-4-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-4-neuron-5-cluster.jpg?raw=true
5,Random,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-5-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-5-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-5-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-5-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-5-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-5-neuron-5-cluster.jpg?raw=true
6,Random,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-6-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-6-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-6-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-6-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-6-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-6-neuron-5-cluster.jpg?raw=true
7,Random,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-7-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-7-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-7-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-7-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-7-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-7-neuron-5-cluster.jpg?raw=true
8,Random,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-8-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-8-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-8-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-8-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-8-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-8-neuron-5-cluster.jpg?raw=true
9,Random,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-9-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-9-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-9-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-9-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-9-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-9-neuron-5-cluster.jpg?raw=true
10,Random,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-10-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-10-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-10-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-10-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-10-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/Random/set-10-neuron-5-cluster.jpg?raw=true
